row,transcript,round,chair,target,effect,property,intent,why_refused,proposed_class,proposed_jurisdiction,your_class,your_jurisdiction,notes
1,"2026-09-24T23-56-16-322Z.referee.json",3,warden,loose_tile,reveal,none,"Examine loose_tile closely to establish its current integrity and condition","reveal named no property","misruled: reveal named, property dropped (loose_tile declares concealment)","model",,,
2,"2026-09-25T00-14-53-769Z.referee.json",8,prisoner,none,none,none,"I step away from the window toward the cot and keep my hands visible at my sides.","no object the actor can reach or perceive was named","correctly refused: nothing named is in reach","prisoner",,,
3,"2026-09-25T00-14-53-769Z.referee.json",9,prisoner,bar,none,none,"I keep my hands visible at my sides and slowly reach toward the rusted bar at the bottom of the window, fingertips hovering just short of the iron.","refused, its effect on the bar left unread","unclassified","",,,
4,"2026-09-25T00-54-08-570Z.referee.json",8,warden,loose_tile,reveal,none,"Examine the loose_tile closely for signs of tampering or recent movement","reveal named no property","misruled: reveal named, property dropped (loose_tile declares concealment)","model",,,
5,"2026-09-25T01-50-35-434Z.referee.json",4,warden,loose_tile,reveal,none,"Examine the loose_tile closely to establish its current condition and stability","reveal named no property","misruled: reveal named, property dropped (loose_tile declares concealment)","model",,,
6,"2026-09-25T00-01-11-724Z.referee.json",8,prisoner,none,none,none,"Remain perfectly still with hands empty and visible, watching Warden Croft closely as she examines the bar, and make no contact with the bar, spoon, or mortar this turn","no object the actor can reach or perceive was named","correctly refused: nothing named is in reach","prisoner",,,
7,"2026-09-25T00-23-42-507Z.referee.json",6,prisoner,none,none,none,"Step back from the window as ordered, hands visible, and move to a neutral position near the cot","no object the actor can reach or perceive was named","correctly refused: nothing named is in reach","prisoner",,,
8,"2026-09-25T00-23-42-507Z.referee.json",7,prisoner,prisoner,none,none,"Step back from the window, keep hands visible, and move to a neutral position near the cot in clear compliance with Croft's order.","refused, its effect on the prisoner left unread","needs reading: none on a person with no property named -- unbuilt mechanism, or misread? the intent decides","",,,
9,"2026-09-25T00-23-42-507Z.referee.json",8,prisoner,prisoner,none,none,"Step back from the window and stand with hands visible in clear compliance with Croft's order","refused, its effect on the prisoner left unread","needs reading: none on a person with no property named -- unbuilt mechanism, or misread? the intent decides","",,,
10,"2026-09-25T01-09-42-366Z.referee.json",4,prisoner,spoon,conceal,none,"Lift the loose_tile slightly and slide the spoon into the shallow hollow under it, then set the tile back down without making noise","conceal named no property","misruled: conceal named, property dropped (spoon declares edge/concealment)","model",,,
11,"2026-09-25T01-09-42-366Z.referee.json",5,prisoner,cot,none,none,"Sit on the cot in full view of Croft and stay still","refused, its effect on the cot left unread","unbuilt: no-change act (wait and watch)","run-dmcp",,,
12,"2026-09-25T01-09-42-366Z.referee.json",8,warden,prisoner,reveal,none,"Look closely at Mara Voss's hands and the front of her clothing to see if the spoon is on her person","reveal named no property","needs reading: reveal on a person with no property named -- unbuilt mechanism, or misread? the intent decides","",,,
13,"2026-09-25T01-09-42-366Z.referee.json",8,prisoner,none,none,none,"Remain completely still and compliant while Croft examines the bar, hands visible and no work done on bar, lock, spoon or loose_tile","no object the actor can reach or perceive was named","correctly refused: nothing named is in reach","prisoner",,,
14,"2026-09-25T01-09-42-366Z.referee.json",9,prisoner,none,none,none,"Remain completely still with hands visible and make no work on bar, lock, spoon or loose tile while Croft examines the bar","no object the actor can reach or perceive was named","correctly refused: nothing named is in reach","prisoner",,,
15,"2026-09-25T01-15-38-878Z.referee.json",9,warden,blanket,reveal,none,"Lift and shake the heavy grey wool blanket to look for the hidden spoon","reveal named no property","misruled: reveal named, property dropped (blanket declares integrity)","model",,,
16,"2026-09-25T01-31-25-639Z.referee.json",1,prisoner,cot,none,none,"Sit on the cot as instructed and keep hands visible on my lap, listening to Croft while appearing compliant","refused, its effect on the cot left unread","unbuilt: no-change act (wait and watch)","run-dmcp",,,
17,"2026-09-25T01-31-25-639Z.referee.json",5,warden,loose_tile,reveal,none,"Examine the loose_tile closely to record its baseline integrity and condition.","reveal named no property","misruled: reveal named, property dropped (loose_tile declares concealment)","model",,,
18,"2026-09-25T01-31-25-639Z.referee.json",6,warden,loose_tile,reveal,none,"Examine the loose_tile closely to record its baseline integrity and condition.","reveal named no property","misruled: reveal named, property dropped (loose_tile declares concealment)","model",,,
19,"2026-09-25T01-31-25-639Z.referee.json",7,warden,loose_tile,reveal,none,"Examine the loose_tile closely to record its baseline integrity and condition.","reveal named no property","misruled: reveal named, property dropped (loose_tile declares concealment)","model",,,
20,"2026-09-25T01-31-25-639Z.referee.json",9,warden,loose_tile,reveal,none,"Closely examine the loose_tile to determine its current integrity and note any wear or change from previous observations","reveal named no property","misruled: reveal named, property dropped (loose_tile declares concealment)","model",,,
21,"2026-09-25T01-31-25-639Z.referee.json",10,warden,loose_tile,reveal,none,"Closely examine the loose_tile to determine its current integrity and note any wear or change from previous observations","reveal named no property","misruled: reveal named, property dropped (loose_tile declares concealment)","model",,,
22,"2026-09-25T01-40-02-976Z.referee.json",7,prisoner,none,none,none,"Stay completely still and watch Warden Croft while she examines the bar, saying nothing and making no movement toward the window, bar, mortar or spoon.","no object the actor can reach or perceive was named","correctly refused: nothing named is in reach","prisoner",,,
