row,transcript,round,chair,target,effect,property,magnitude,intent,why_refused,proposed_class,proposed_label,your_label,notes
1,O/2026-09-22T14-04-02-498Z.md,2,prisoner,cot,none,none,moderate,"Sit down on the cot looking defeated, pick up the meal tray, and eat slowly while talking to Croft — explain that I was just watching the sky through the window because it's the only piece of the outside world I get. Appear resigned and broken. While eating, casually keep the spoon in hand as part of the meal, then set it down on the tray when finished — nothing hidden, nothing suspicious, just a tired prisoner eating her food.","refused, its effect on the cot left unread",unbuilt: no-change act,unbuilt,unbuilt,
2,O/2026-09-22T14-04-02-498Z.md,3,warden,spoon,reveal,integrity,moderate,"Pick up the spoon from wherever it sits and examine it closely — checking the bowl edge, the handle, and any wear patterns — to establish a baseline on its condition.","refused as an attempt to look closely at the spoon, integrity being a property the spoon lacks",misruled: wrong key (spoon integrity),misruled,misruled,
3,O/2026-09-22T14-04-02-498Z.md,5,prisoner,meal_tray,none,none,moderate,"Crouch down and slide the meal tray back through the slot at the bottom of the door, keeping the spoon concealed in my sleeve, moving naturally and unhurriedly as though just finishing up the meal routine.","refused, its effect on the meal tray left unread",unbuilt: put a thing somewhere,unbuilt,unbuilt,
4,O/2026-09-22T14-04-04-789Z.md,6,prisoner,spoon,none,none,moderate,"Sit down on the floor beside the cot, pull the blanket off the cot and over my lap as though I'm cold, then draw the spoon from my waistband and sharpen its edge against the cracked broken corner of the loose floor tile, working it in slow, quiet strokes hidden beneath the blanket.","refused, its effect on the spoon left unread",misruled: direction (sharpen = restore edge),misruled,misruled,
5,O/2026-09-22T14-04-04-789Z.md,7,prisoner,spoon,wear,edge,moderate,"Sharpen the spoon's edge against the cracked corner of the loose floor tile, working it in slow quiet strokes beneath the blanket draped over my lap as I sit on the floor beside the cot.","refused as an attempt to wear at the spoon, its grounds in your words and in the spoon's description left unverified",misruled: direction (sharpen = restore edge),misruled,misruled,
6,O/2026-09-22T14-30-07-627Z.md,2,prisoner,spoon,none,edge,slight,"Sit on the cot to eat my meal. While eating, between bites, I subtly draw the worn-flat edge of the spoon along the rough, paint-flaked crossbar of the cot frame beneath me, using the abrasive surface to sharpen the spoon edge. My body sitting on the cot obscures the motion from Croft's view. I keep the strokes slow and light to avoid any sound.","refused, its effect on the spoon left unread",misruled: direction (sharpen = restore edge),misruled,misruled,
7,O/2026-09-22T14-31-50-382Z.md,5,warden,lock,reveal,none,moderate,"Walk to the cell door and closely examine the lock — the bolt, the keyhole from this side, the mechanism, the steel around it — looking for any scratches, tool marks, wear, looseness, or signs of tampering since my last check at round 0.","refused as an attempt to look closely at the lock, which property it meant left unread",misruled: wrong key (lock property none),misruled,misruled,
8,O/2026-09-22T15-00-26-839Z.md,1,warden,prisoner,reveal,posture,moderate,"Watch Voss carefully — her eyes, her hands, her posture, what she glances at in the cell — to get an initial read on what part of the cell interests her most.","refused as an attempt to look closely at Mara Voss, its grounds in your words and in Mara Voss's description left unverified",misruled: citation (watch her posture),misruled,misruled,
9,O/2026-09-22T15-00-26-839Z.md,5,prisoner,spoon,wear,none,moderate,"Sit down with the meal tray, eat from the bowl naturally, and between bites firmly scrape the thin rim of the spoon along the sharp steel edge of the tray to hone a cutting edge on the aluminum. Keep the motion casual — just a person eating, tapping and scraping their spoon on the tray the way anyone might.","refused as an attempt to wear at the spoon, which property it meant left unread",misruled: direction (hone = restore edge),misruled,misruled,
10,O/2026-09-22T15-00-26-839Z.md,9,warden,spoon,reveal,integrity,moderate,"Pick up the spoon and closely examine its edge, bowl, and handle for any sign of sharpening, filing, or deliberate modification.","refused as an attempt to look closely at the spoon, integrity being a property the spoon lacks",misruled: wrong key (spoon integrity),misruled,misruled,
11,O/2026-09-22T15-02-08-256Z.md,3,prisoner,none,conceal,none,slight,"Stay lying on the floor and respond to Croft's probing comment by reframing the door-watching as dread and fear rather than hope or planning. Curl slightly tighter on the floor, away from her. Sell the broken persona while neutralizing her observation.","refused as an attempt to hide something, its target left unread",unbuilt: no-change act,unbuilt,unbuilt,
12,O/2026-09-22T15-02-08-256Z.md,8,prisoner,spoon,wear,posture,substantial,"Accept the spoon back from Croft, then immediately fake a sudden seizure while lying on the floor — going rigid, convulsing, gasping, eyes rolling back — making it as convincing as possible to get Croft to leave the cell to summon medical help.","refused as an attempt to wear at the spoon, posture being a property the spoon lacks",misruled: wrong target (feigned seizure is posture on herself),misruled,misruled,
13,O/2026-09-22T15-02-08-256Z.md,10,warden,none,none,none,slight,"I step into the open doorway, filling it with my frame and planting one hand on each side of the stone jamb. I keep my eyes locked on Voss where she lies on the floor, watching for any sudden movement. I do not leave the doorway, I do not approach her, and I do not send for water. I hold this position.","refused, both its target and its effect left unread",unbuilt: guard / block a way out,unbuilt,unbuilt,
